id,isbn,titulo,autor,data_publicacao,generos,preco,paginas
48,9785984923780,Crônicas de Fogo,Maria Silva,1995-03-28,Tecnologia|Biografia,107.45,375
49,9782676098498,Sussurros de Gelo,Maria Santos,2011-09-02,Ciência|Filosofia,202.76,826
50,9789883927428,Memórias da Magia,Fernanda Oliveira,1994-05-21,Terror|Mistério|Suspense,27.0,622
51,9789627876903,Fragmentos de Gelo,Camila Santos,2002-04-28,História,245.64,902
52,9785283467711,O Mistério da Cidade,Pedro Carvalho,2020-07-27,Ciência|Tecnologia,199.91,725
53,9789132304113,Fragmentos da Escuridão,Pedro Ribeiro,2006-05-16,Filosofia|Tecnologia|Aventura,125.3,833
54,9787758155178,Vozes da Magia,Carlos Ribeiro,2024-03-12,Ciência,178.9,1122
55,9786859083570,Sombras do Tempo,Ana Ribeiro,2000-03-16,Filosofia|Mistério|Tecnologia,91.8,437
56,9787241922147,Sombras Estelar,Camila Santos,1996-10-05,Suspense|Ficção,231.6,1139
57,9783858222443,A Lenda de Fogo,Carlos Santos,2014-01-21,Mistério|Ficção|Fantasia,48.7,243
58,9788242995187,O Mistério da Meia-Noite,Fernanda Costa,1988-02-12,História|Filosofia,92.73,446
59,9782124017065,A Jornada da Meia-Noite,Carlos Ferreira,2000-10-16,Biografia|Comédia,176.67,202
60,9789341651805,A Jornada do Amanhã,Carlos Ribeiro,1993-07-14,Romance,79.93,722
61,9782833495510,Fragmentos da Meia-Noite,Rafael Santos,2020-01-23,Terror|Ficção|Comédia,210.23,787
62,9787172469957,Luzes da Magia,Fernanda Carvalho,1990-11-22,Mistério,138.5,353
63,9783558731084,O Guia da Escuridão,Gabriel Souza,2004-02-19,Aventura|Romance,117.42,143
64,9788212840639,Crônicas da Meia-Noite,Fernanda Ribeiro,2025-04-19,História|Drama|Ciência,120.04,960
65,9788611742217,Memórias de Fogo,João Oliveira,2022-03-07,Drama|Romance,76.21,332
66,9785075684516,Ecos da Magia,Fernanda Gomes,1997-01-06,Fantasia|Suspense,84.43,290
67,9784712820266,O Guia da Meia-Noite,Beatriz Rodrigues,2006-07-18,Drama|Suspense|Terror,152.0,1070
68,9789227242602,Fragmentos do Amanhã,Lucas Silva,2008-11-04,Romance|Biografia,198.75,278
69,9786004743823,A Lenda do Amanhã,João Ferreira,2008-08-23,Fantasia|História|Romance,227.43,692
70,9787458732073,Fragmentos da Escuridão,Rafael Ribeiro,2001-09-11,História|Fantasia|Biografia,245.0,1187
71,9784445941941,O Caminho de Gelo,Marcos Melo,1984-09-13,Suspense|Drama|Filosofia,50.17,406
72,9787426588586,Ecos do Destino,Camila Martins,2019-01-14,Romance|Suspense|Ficção,187.73,615
73,9780631033882,Sussurros do Amanhã,Marcos Rodrigues,1981-02-19,Fantasia,94.08,641
74,9780385353425,O Mistério da Meia-Noite,Marcos Ferreira,2003-09-27,Suspense|Mistério|Drama,29.12,250
75,9789799143513,Vozes de Gelo,Rafael Rodrigues,1995-11-04,Ciência|Aventura|Romance,232.61,318
76,9781290773411,A Lenda da Escuridão,Gabriel Santos,2013-08-13,Ciência|Suspense,46.78,417
77,9786984161460,O Guia da Cidade,Fernanda Melo,2006-10-15,Mistério|Ciência|Filosofia,112.09,417
78,9782079776891,A Jornada do Destino,Gabriel Santos,1980-01-25,Romance|História|Filosofia,152.91,1171
79,9788534947307,Vozes do Tempo,Mariana Lima,1993-07-11,Ficção|Aventura,126.71,538
80,9787662470215,O Guia de Gelo,Marcos Carvalho,2022-08-24,Tecnologia|História|Ficção,80.22,488
81,9781621546890,A Lenda do Amanhã,Mariana Pereira,2022-04-25,Romance,156.41,960
82,9783547727850,História Esquecido,Pedro Martins,2008-10-16,Mistério,104.84,694
83,9780574307034,Sombras da Magia,Camila Silva,2017-12-30,Terror|Suspense|Drama,225.75,607
84,9782483491318,O Caminho da Meia-Noite,Ana Lima,2018-01-01,Aventura|Tecnologia,231.13,286
85,9785388165973,Crônicas do Destino,Rafael Alves,1992-01-07,História,181.66,794
86,9787150535824,Vozes do Amanhã,João Costa,2003-12-30,Ciência|Filosofia|Biografia,185.01,603
87,9783729874807,O Guia da Alma,Rafael Souza,1996-03-13,Mistério|Drama|Biografia,243.94,591
88,9787822779162,Fragmentos Esquecido,Ana Pereira,2007-04-09,Ficção,126.14,1065
89,9782711379348,A Lenda de Fogo,Mariana Silva,1998-08-05,Suspense|Tecnologia,99.94,308
90,9787152981364,Sussurros da Magia,Lucas Carvalho,1990-03-23,Tecnologia,215.92,640
91,9782233152126,Memórias da Magia,Beatriz Lima,2022-03-07,Drama|Ciência,126.5,434
92,9784446355295,Vozes Imortal,Thiago Carvalho,1999-10-10,Ciência,140.79,448
93,9785882236035,Crônicas Esquecido,Lucas Rodrigues,1987-08-14,Aventura,211.17,757
94,9783132084794,O Segredo Estelar,Maria Carvalho,1990-06-21,Drama,87.27,486
95,9789580549985,A Lenda Estelar,Maria Pereira,1998-11-23,Terror,54.54,715
96,9781376313631,História do Tempo,Lucas Pereira,2025-04-01,História|Ciência,84.12,870
97,9784536072402,Contos do Dragão,Marcos Pereira,1994-08-15,Fantasia,138.5,170
98,9784145197815,O Mistério Esquecido,Camila Ferreira,2021-10-24,Comédia|Drama,159.69,200
99,9784268792919,Contos Imortal,Fernanda Silva,2012-01-29,História|Ciência,203.96,990
100,9785907086869,Vozes do Dragão,Fernanda Silva,2017-05-27,Fantasia|Aventura,183.21,511
101,9789877547801,O Caminho do Destino,Gabriel Pereira,1985-01-04,Comédia|Drama,128.89,521
102,9785420242866,O Mistério Esquecido,Camila Gomes,2002-07-12,Comédia,235.57,242
103,9785985909236,A Jornada de Fogo,Thiago Melo,2009-05-01,Aventura|Terror|Drama,65.94,1114
104,9780345097433,O Mistério Perdido,Carlos Souza,2023-11-06,Drama|Terror,228.48,148
105,9781021815450,Luzes da Alma,Maria Souza,2025-04-01,Romance|Terror,62.99,401
106,9782769020967,Ecos Esquecido,Laura Santos,2001-08-09,Filosofia|Mistério,32.4,221
107,9785646500646,Sombras do Destino,Fernanda Costa,2020-03-28,Filosofia|Fantasia,142.28,517
108,9783524395002,O Mistério Perdido,Julia Silva,2024-01-12,Comédia|Ciência|Ficção,106.7,712
109,9786704436221,A Lenda do Dragão,Rafael Carvalho,1996-11-03,Filosofia|Biografia|Fantasia,107.26,283
110,9783277918415,Crônicas Imortal,Carlos Costa,1996-08-25,Tecnologia|Drama|História,44.07,585
111,9787704113174,História do Dragão,Fernanda Melo,1990-06-26,Terror|História|Ciência,62.84,474
112,9787901630267,História da Meia-Noite,Rafael Oliveira,1996-09-11,Drama|Fantasia|História,172.61,1049
113,9789346555280,O Mistério do Destino,Laura Lima,1980-03-26,História,41.16,917
114,9783472772401,A Jornada do Destino,Julia Oliveira,2013-01-25,Tecnologia|Biografia|Terror,66.86,184
115,9789068137373,A Jornada do Amanhã,João Melo,2016-01-12,Tecnologia,144.88,538
116,9785679249802,Fragmentos da Meia-Noite,Ana Melo,2005-06-16,Comédia|Ciência|Ficção,88.11,904
117,9787625976929,A Jornada do Amanhã,Julia Oliveira,2013-02-08,Tecnologia,193.33,764
118,9787523421483,Ecos Imortal,Laura Costa,1994-06-03,Romance|Drama,76.79,561
119,9788013838008,Sombras do Amanhã,Beatriz Costa,1982-07-03,Comédia|Ficção,86.7,1096
120,9783647855746,O Segredo do Destino,Lucas Gomes,1980-05-02,Aventura,47.15,397
121,9787094373971,A Lenda da Cidade,Lucas Ferreira,1999-01-18,Suspense,108.71,798
122,9786760102380,História de Fogo,Marcos Santos,1987-02-01,Terror|Drama|Ciência,240.81,939
123,9780799740094,Sombras da Escuridão,Carlos Silva,1991-11-05,Filosofia|Ciência|Suspense,176.72,161
124,9780716456945,Crônicas Esquecido,Rafael Silva,1989-12-18,Aventura|Biografia,178.68,1191
125,9783046200795,O Guia da Meia-Noite,Thiago Silva,1986-03-18,Drama|Ciência,110.23,361
126,9785732533402,O Caminho da Alma,Fernanda Costa,2009-05-24,Aventura|Mistério,212.29,810
127,9789970373620,O Guia do Dragão,João Ferreira,1980-11-11,Fantasia,205.12,466
128,9787663296696,Luzes de Fogo,Gabriel Silva,1988-03-30,Terror|Tecnologia,214.43,421
129,9781497696743,Fragmentos da Meia-Noite,Thiago Costa,1988-04-03,Terror|Fantasia|Ficção,117.78,637
130,9783016293169,A Lenda Imortal,Marcos Santos,2000-04-11,História,85.82,1138
131,9783625862305,Contos Estelar,Pedro Souza,1996-08-13,Tecnologia|Mistério,61.65,156
132,9782594393190,O Caminho Esquecido,Marcos Souza,2003-01-10,História|Comédia,91.71,1117
133,9785945258262,O Segredo de Fogo,João Ribeiro,1980-03-19,Filosofia|História,177.41,532
134,9783663478427,O Mistério da Magia,Mariana Lima,1981-08-06,Drama|Tecnologia|História,228.23,800
135,9780352533204,Fragmentos da Cidade,Gabriel Melo,1998-07-04,Comédia|Fantasia,76.35,132
136,9781292900100,Sombras da Alma,Julia Melo,2004-12-27,Terror,146.56,585
137,9784284696671,Ecos do Tempo,Thiago Ferreira,2007-02-16,Terror,120.95,228
138,9787589227115,Memórias do Dragão,Fernanda Ferreira,2013-04-05,Suspense|Mistério|Biografia,156.5,1058
139,9789275155019,Sussurros do Amanhã,Beatriz Alves,1980-03-26,Aventura,161.48,194
140,9783045940317,Ecos da Meia-Noite,Carlos Lima,2011-03-21,Ficção,90.74,1090
141,9781463069231,O Mistério do Tempo,Gabriel Pereira,1989-11-19,Suspense|Mistério|Aventura,85.54,135
142,9782319067129,Luzes do Tempo,Camila Oliveira,1988-07-26,Filosofia|Romance|Ficção,227.73,1110
143,9785522662504,O Guia da Magia,Mariana Ferreira,1994-08-10,Ciência|Biografia|Terror,138.53,591
144,9784864989450,Contos da Magia,Fernanda Martins,1986-08-23,Tecnologia,125.51,227
145,9788684109493,Vozes do Dragão,Julia Costa,2014-05-19,Ficção|Tecnologia|Romance,156.91,149
146,9784774688897,História de Gelo,Marcos Melo,1987-03-21,Tecnologia|Comédia|Aventura,230.33,438
147,9781976569156,Crônicas Imortal,Marcos Lima,2004-06-12,Comédia|Suspense|Biografia,69.58,1123
148,9783562760503,Contos Esquecido,Julia Costa,1995-03-24,Ficção|Suspense|Fantasia,195.03,887
149,9789674294031,Sombras da Alma,Ana Melo,1984-11-17,Aventura|Fantasia|Ficção,128.56,296
150,9783549485983,Sussurros do Dragão,Julia Martins,2012-11-24,Terror|Biografia|Filosofia,192.64,548
151,9781409358056,Contos Perdido,Mariana Santos,1989-06-07,História|Suspense|Tecnologia,41.68,1095
152,9785286131121,Memórias do Destino,Pedro Souza,2013-08-25,Ficção|Mistério|Suspense,176.96,291
153,9786113200713,Memórias da Magia,Gabriel Martins,2024-12-28,Romance|Suspense,60.35,771
154,9789366785698,Ecos de Fogo,Gabriel Rodrigues,2022-10-28,Ciência|História,91.47,715
155,9786552740406,Memórias Perdido,Carlos Silva,2002-06-15,Romance|Tecnologia|Biografia,100.34,358
156,9787847658335,Luzes Imortal,Mariana Souza,1989-02-15,Ficção|Ciência|Fantasia,184.35,490
157,9785735079205,Ecos Imortal,Laura Rodrigues,1987-08-11,Biografia,113.47,978
158,9782385076426,Contos Perdido,Thiago Melo,2019-11-15,Ficção,171.87,739
159,9780019743237,Fragmentos Imortal,João Souza,2010-11-16,Filosofia|Drama,53.9,673
160,9789520162645,Luzes Imortal,Laura Carvalho,2000-06-05,Terror|História|Filosofia,45.88,877
161,9784689866657,O Segredo do Destino,Marcos Gomes,1989-10-30,Biografia|Fantasia,48.89,545
162,9780735363160,História da Cidade,Maria Costa,1995-07-17,Ficção|Tecnologia|Biografia,92.55,288
163,9787716673068,Vozes Imortal,Laura Ribeiro,1992-08-20,Romance|Mistério,104.19,318
164,9785481016914,O Guia do Destino,João Lima,1996-06-12,Filosofia,207.71,130
165,9787860476721,Luzes de Fogo,Marcos Silva,2018-11-03,Romance,223.83,282
166,9782051500227,Memórias Perdido,Maria Oliveira,2025-04-19,História,24.15,536
167,9782529941481,Luzes de Fogo,Thiago Souza,2000-05-22,Filosofia|Biografia,123.99,909
168,9785295740844,Crônicas da Magia,Gabriel Souza,2006-05-28,Suspense|Tecnologia|Drama,111.26,1049
169,9784644530364,Fragmentos da Cidade,Ana Gomes,1996-03-20,Fantasia|Aventura,119.45,645
170,9788888408406,Sombras da Meia-Noite,Rafael Pereira,2023-10-26,Fantasia|Tecnologia,181.45,1030
171,9781566314603,Sussurros de Fogo,Lucas Carvalho,2000-09-16,Biografia|História,101.59,432
172,9788707625104,O Mistério da Alma,Julia Lima,2021-10-10,Tecnologia,241.01,772
173,9785382144904,Vozes do Amanhã,Camila Rodrigues,2003-07-09,Biografia,244.79,1192
174,9788110660151,Vozes de Gelo,Marcos Oliveira,2017-08-16,Ciência,25.79,429
175,9784230770595,Fragmentos de Gelo,Pedro Gomes,1989-09-29,Mistério,195.82,756
176,9783787421192,A Lenda Estelar,Pedro Ribeiro,2004-09-18,Terror|Fantasia,205.85,253
177,9788610023240,A Lenda Perdido,Lucas Martins,1985-03-05,Ciência|Suspense|Ficção,152.43,388
178,9782395377766,O Guia Estelar,Ana Rodrigues,2011-11-30,Mistério,116.69,246
179,9784728933625,História da Cidade,Marcos Alves,2010-08-16,Filosofia|Biografia,22.42,623
180,9785297334486,Crônicas Imortal,Camila Carvalho,2020-07-31,Fantasia|Biografia,80.94,945
181,9787774921796,Ecos Imortal,Beatriz Santos,2011-01-30,Drama|História,201.74,806
182,9788881481555,A Jornada de Gelo,Julia Carvalho,1994-07-30,Fantasia|Tecnologia,207.09,1145
183,9788288976890,Fragmentos do Dragão,Pedro Costa,1985-11-13,História|Tecnologia|Filosofia,21.72,745
184,9784250055570,O Mistério Estelar,Rafael Rodrigues,1995-07-08,História,169.57,587
185,9784949548459,Sussurros da Alma,Rafael Gomes,2017-09-07,Fantasia|Drama|História,198.34,1165
186,9781505523135,Crônicas Esquecido,Maria Melo,2025-09-20,Suspense|Filosofia,108.57,1144
187,9781267338711,Sombras Estelar,Rafael Gomes,1981-04-04,Tecnologia|Ciência|Comédia,148.1,314
188,9789447118147,Vozes Perdido,Gabriel Lima,2016-04-19,Ficção|Terror,56.61,1166
189,9785935069514,Crônicas de Fogo,Lucas Souza,2006-03-25,Romance|Terror,50.06,238
190,9781857636932,O Segredo Perdido,Ana Alves,2020-09-03,Ciência,45.0,1088
191,9782220425057,A Jornada Perdido,Pedro Martins,2003-11-14,Mistério|Ciência,157.81,1173
192,9789836511433,O Segredo do Destino,Mariana Gomes,1997-06-09,Terror|Filosofia,162.46,531
193,9781242588678,Vozes Estelar,Gabriel Lima,1984-10-23,Suspense|Comédia|Romance,190.13,615
194,9789634097047,Crônicas Perdido,Gabriel Rodrigues,1987-07-09,Ficção,56.58,1160
195,9783818505926,O Segredo da Cidade,Ana Melo,1988-02-25,Biografia,199.61,333
196,9788222037569,Vozes do Dragão,Thiago Ribeiro,1986-11-06,Mistério|Biografia,214.33,283
197,9785185955957,Sombras do Amanhã,João Pereira,1983-01-12,Ficção|Biografia,32.32,1110
198,9789128876991,Crônicas Estelar,Rafael Melo,2011-10-25,Fantasia,158.18,1075
199,9785526239559,Sombras de Fogo,Rafael Silva,1998-05-06,Suspense|Ciência,64.92,748
200,9780562015717,Vozes Imortal,Julia Oliveira,1995-11-19,Biografia,58.23,935
201,9786863842553,O Segredo do Destino,Marcos Carvalho,1980-01-13,Biografia,241.56,1003
202,9780535886807,Sussurros da Alma,Rafael Alves,2018-05-20,Tecnologia|Suspense|Terror,192.69,534
203,9787912558811,Fragmentos Imortal,Carlos Gomes,2014-05-12,Ficção,83.06,1041
204,9788997812189,A Lenda de Gelo,Maria Santos,2020-03-10,Aventura|Romance,30.91,541
205,9784007361967,Ecos Estelar,Mariana Pereira,1982-07-13,Drama,155.84,804
206,9782236426974,Ecos de Fogo,Julia Rodrigues,2020-11-29,Mistério|Suspense|Comédia,233.51,357
207,9785356377713,A Lenda do Amanhã,Laura Souza,2006-12-12,História|Suspense,159.98,1154
208,9780506139497,Sombras do Dragão,Thiago Silva,1991-04-24,Ficção,242.06,931
209,9784773599485,Ecos Esquecido,Ana Ferreira,1998-06-28,Ficção,109.21,342
210,9786590964791,Vozes do Tempo,Maria Gomes,2013-05-11,História|Drama|Fantasia,88.67,605
211,9780412840927,Fragmentos da Meia-Noite,Carlos Ribeiro,1998-08-30,Filosofia,27.57,1156
212,9783197571993,A Lenda do Tempo,Rafael Costa,1984-10-21,Ficção|Ciência|Mistério,127.65,197
213,9784293378334,A Jornada da Cidade,Gabriel Santos,2022-09-16,Suspense|Tecnologia|História,34.63,535
214,9788725509894,Sombras do Amanhã,Laura Souza,2001-08-18,Ciência|Filosofia|Biografia,79.78,1099
215,9781044430397,Memórias Imortal,Ana Ferreira,1992-05-12,Ficção,197.68,603
216,9788061429816,Luzes de Fogo,Julia Oliveira,1989-06-08,Ciência,21.36,934
217,9783632441509,Memórias da Alma,Camila Ribeiro,2004-10-06,Comédia|Ficção,123.28,122
218,9781850847740,Sombras da Magia,Julia Carvalho,2016-06-24,Romance|Ficção|Fantasia,97.59,343
219,9785533144912,Ecos Estelar,Maria Melo,2019-02-02,Suspense,92.47,360
220,9788305625431,Contos da Alma,Marcos Ribeiro,2007-12-22,Drama|Biografia,160.84,667
221,9782141514666,O Mistério da Alma,Maria Costa,1995-07-28,História|Fantasia,126.26,891
222,9781102110902,Vozes do Tempo,Pedro Silva,2006-04-23,Ficção,60.57,369
223,9782270049460,A Lenda da Alma,Camila Santos,2013-12-25,Drama,121.16,875
224,9789132245825,Fragmentos do Dragão,Carlos Souza,1999-02-13,Drama|Comédia,20.93,543
225,9785718152161,Memórias da Escuridão,Thiago Oliveira,2016-06-30,Fantasia,187.51,214
226,9789264387840,O Caminho de Fogo,Gabriel Souza,1987-05-08,Ficção|Comédia|Suspense,27.85,614
227,9788383470020,Crônicas da Meia-Noite,Pedro Ferreira,1991-12-15,Filosofia|Suspense|História,42.85,357
228,9780480523088,Fragmentos Estelar,Camila Pereira,2000-10-31,Tecnologia,193.36,736
229,9783097302035,Contos da Magia,Julia Santos,1987-04-10,Ciência|Suspense|Biografia,37.91,806
230,9787815475994,História da Escuridão,Mariana Gomes,2001-04-07,Ciência|Comédia,135.83,394
231,9783808285223,Crônicas da Escuridão,Pedro Lima,1984-11-23,Mistério|Tecnologia|Ficção,82.46,1080
232,9784685849633,O Guia da Magia,Marcos Santos,1989-01-08,Terror|Romance|Fantasia,103.05,837
233,9786911247093,Sombras do Amanhã,Julia Costa,1992-09-22,Filosofia,239.6,1182
234,9784096063664,Sussurros do Amanhã,Mariana Ferreira,2023-09-27,Drama|Biografia,249.54,827
235,9783178787304,Crônicas do Destino,Thiago Martins,2016-08-03,História|Biografia,89.76,869
236,9783484162604,A Lenda da Alma,Laura Silva,1996-12-13,Filosofia|Drama,77.84,341
237,9780561528784,Sussurros do Amanhã,Ana Martins,1985-01-25,Ciência,180.81,890
238,9782306985124,Memórias da Cidade,Marcos Melo,2016-07-18,Mistério,118.65,136
239,9787451402807,A Jornada do Amanhã,Maria Carvalho,1980-03-10,História|Ficção,37.38,386
240,9784278998218,O Segredo de Fogo,Rafael Alves,1995-05-23,Ciência|Tecnologia|Fantasia,57.83,537
241,9780865099856,Memórias da Alma,Mariana Martins,1995-09-23,Mistério|Fantasia|Ficção,46.21,243
242,9782443705538,O Mistério Perdido,João Ribeiro,2012-08-15,Terror|Comédia|Filosofia,50.47,223
243,9786632669900,Crônicas da Escuridão,Laura Lima,1980-03-16,Ficção|Biografia,184.11,295
244,9781611794047,Fragmentos do Amanhã,João Ribeiro,2010-07-05,Filosofia|Biografia|Comédia,221.59,943
245,9788249062950,Memórias da Escuridão,Thiago Ribeiro,2015-08-07,Terror,161.77,747
246,9785500587373,Sombras Perdido,João Souza,2010-07-11,Terror,67.07,1170
247,9782761062756,O Guia da Alma,Carlos Costa,2016-03-09,Tecnologia|Mistério,21.32,595
248,9786135678224,O Guia Estelar,Gabriel Carvalho,2000-11-13,Comédia,172.63,369
249,9788655942535,Fragmentos da Magia,Thiago Souza,1997-12-11,Ficção|Aventura,111.11,579
250,9781972433938,Sussurros do Destino,Lucas Carvalho,2017-03-27,Romance|Aventura,150.91,1091
251,9785734291040,História Esquecido,Gabriel Oliveira,2001-03-11,Ficção|Biografia,112.4,132
252,9788425482780,O Segredo do Amanhã,Gabriel Silva,2020-10-15,Fantasia|Mistério,117.27,1200
253,9782556755946,O Guia da Meia-Noite,Mariana Gomes,2004-08-17,História|Mistério|Aventura,212.4,400
254,9784625048057,A Lenda da Cidade,Mariana Gomes,1991-05-10,Ficção|Tecnologia,53.92,851
255,9780296531596,Crônicas da Cidade,Fernanda Pereira,1999-10-21,Suspense|Terror|Biografia,136.24,406
256,9782246380109,Contos do Amanhã,Mariana Santos,1993-10-22,Ficção|Drama,103.42,526
257,9788561171293,O Mistério do Tempo,Fernanda Carvalho,2021-03-11,Terror,127.96,756
258,9786023365350,A Lenda de Fogo,Maria Santos,1994-08-29,Tecnologia|Romance|Suspense,68.15,926
259,9789053377405,Ecos da Meia-Noite,Camila Alves,1992-05-05,Terror|Tecnologia,208.94,994
260,9782210934800,Luzes do Dragão,Julia Martins,2011-03-01,História,87.92,393
261,9783762762197,A Lenda Perdido,Thiago Rodrigues,2000-01-14,Terror,30.61,566
262,9780981277455,Contos da Escuridão,Laura Souza,2007-05-23,Terror,43.85,643
263,9781561581162,Sombras Perdido,Fernanda Carvalho,2014-06-21,Ficção|Filosofia|Terror,59.91,1057
264,9787765659916,Contos de Fogo,Gabriel Carvalho,2008-03-22,Mistério|Suspense,114.45,665
265,9787767850671,Luzes Perdido,Maria Gomes,2009-07-27,Comédia|Tecnologia|Ficção,62.61,269
266,9782721677098,Sussurros Imortal,João Lima,2017-07-26,Tecnologia,33.51,1104
267,9784256369205,Crônicas de Fogo,Lucas Souza,2025-05-18,Mistério,71.98,364
268,9788778958030,O Segredo de Fogo,Lucas Ribeiro,2002-05-11,Drama,173.58,859
269,9783967117526,História de Gelo,João Souza,2007-11-25,Tecnologia,156.2,378
270,9788572073183,Vozes do Amanhã,Carlos Souza,2018-11-21,Romance|Filosofia|Ficção,45.65,911
271,9787850045480,Sombras da Cidade,Pedro Costa,2024-12-09,Drama,221.77,626
272,9784724301702,Memórias da Meia-Noite,Fernanda Silva,2010-09-13,Filosofia,230.05,1054
273,9787982219759,Fragmentos da Escuridão,Lucas Oliveira,2010-06-28,Drama|Mistério,62.43,669
274,9781256496258,Crônicas da Meia-Noite,Camila Pereira,1980-06-05,Aventura|Suspense,227.45,704
275,9789754905157,O Segredo da Cidade,Mariana Oliveira,1997-08-23,Drama|História,177.57,475
276,9783124162884,Crônicas Estelar,Pedro Rodrigues,1996-11-15,Ficção|Suspense,55.58,284
277,9788742119402,O Mistério Estelar,Pedro Melo,2004-07-31,Mistério|Suspense,228.59,1100
278,9785435012291,Contos Estelar,Carlos Santos,2012-04-03,História|Ciência|Romance,244.09,568
